Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDO23,17.85,Low Fat,0,Breads,93.1436,OUT045,2002,,Tier 2,Supermarket Type1,2174.503
DRH01,17.5,Low Fat,0.097904,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.286
NCX29,10,Low Fat,0.089291,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.065
FDV20,,Regular,0.059512,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.692
DRZ11,8.85,Regular,0.113124,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.904
FDX10,,Regular,0.123111,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,,Low Fat,0.026481,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,13.35,Low Fat,0.102512,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDK43,9.8,Low Fat,0.026818,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
FDA46,13.6,Low Fat,0.117818,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.377
FDC02,21.35,Low Fat,0.069103,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.523
FDL50,12.15,Regular,0.042278,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
FDM39,6.42,LF,0.089499,Dairy,178.1002,OUT010,1998,,Tier 3,Grocery Store,358.2004
NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,OUT045,2002,,Tier 2,Supermarket Type1,2428.838
FDV49,10,Low Fat,0.02588,Canned,265.2226,OUT045,2002,,Tier 2,Supermarket Type1,5815.097
FDL12,15.85,Regular,0.121633,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
FDS02,,Regular,0.255395,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
NCL17,7.39,Low Fat,0.06778,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.586
FDM40,10.195,Low Fat,0.159804,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
FDR13,9.895,Regular,0.028697,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
FDA43,10.895,Low Fat,0.065042,Fruits and Vegetables,196.3794,OUT017,2007,,Tier 2,Supermarket Type1,3121.27
NCP18,12.15,Low Fat,0.02876,Household,151.4708,OUT017,2007,,Tier 2,Supermarket Type1,4815.066
FDK21,7.905,Low Fat,0.010053,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.195,Low Fat,0.048157,Household,106.1622,OUT045,2002,,Tier 2,Supermarket Type1,2117.244
DRK35,8.365,Low Fat,0.071958,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,15.1,Low Fat,0.173481,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
FDI26,,Low Fat,0.061082,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172
FDM20,10,Low Fat,0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.187
FDV27,7.97,Regular,0.040071,Meat,87.3514,OUT045,2002,,Tier 2,Supermarket Type1,1062.617
FDF09,,Low Fat,0.01209,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,,Regular,0.150286,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
FDY45,,Low Fat,0.026016,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,17.7,LF,0.195068,Snack Foods,185.4266,OUT010,1998,,Tier 3,Grocery Store,184.4266
FDH19,19.35,Low Fat,0.033082,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.666
FDZ03,13.65,Regular,0.078946,Dairy,186.024,OUT045,2002,,Tier 2,Supermarket Type1,1118.544
DRH37,17.6,Low Fat,0.041701,Soft Drinks,164.8526,OUT045,2002,,Tier 2,Supermarket Type1,2302.336
NCI17,8.645,Low Fat,0.143423,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,15.6,Regular,0.105296,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDL12,15.85,Regular,0.121532,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,OUT045,2002,,Tier 2,Supermarket Type1,4604.673
FDG02,7.855,Low Fat,0.011325,Canned,189.6188,OUT017,2007,,Tier 2,Supermarket Type1,2285.026
NCZ18,7.825,low fat,0.186357,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.736
FDC29,8.39,Regular,0.024206,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
FDQ10,12.85,Low Fat,0.033231,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.095
FDN48,,Low Fat,0.11372,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
FDL04,19,Low Fat,0.112557,Frozen Foods,104.9622,OUT017,2007,,Tier 2,Supermarket Type1,1587.933
FDV25,5.905,Low Fat,0,Canned,222.5456,OUT045,2002,,Tier 2,Supermarket Type1,5305.094
FDD58,7.76,Low Fat,0.059352,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,reg,0.014087,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.475
FDV45,16.75,low fat,0.045231,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,,Low Fat,0.293418,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
FDR12,,Regular,0.031382,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.975
FDG20,15.5,Regular,0.126399,Fruits and Vegetables,177.0028,OUT017,2007,,Tier 2,Supermarket Type1,2479.439
FDZ55,6.055,Low Fat,0.025404,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
FDQ49,,Regular,0.039058,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,6.305,Regular,0.123116,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
FDN27,20.85,Low Fat,0.039624,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.35
FDW20,20.75,Low Fat,0.040421,Fruits and Vegetables,122.173,OUT010,1998,,Tier 3,Grocery Store,369.519
DRG27,8.895,Low Fat,0.105274,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,19.6,Low Fat,0.03397,Soft Drinks,55.1614,OUT045,2002,,Tier 2,Supermarket Type1,1381.535
FDA44,19.7,Low Fat,0.053213,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
NCR17,9.8,Low Fat,0.024379,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.341
FDU04,,Low Fat,0.009715,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
FDF41,12.15,Low Fat,0.131384,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,Regular,0.074613,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
NCP18,,Low Fat,0.02846,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.653
FDB56,8.75,Regular,0.074627,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.289
FDT28,13.3,Low Fat,0.063695,Frozen Foods,151.0708,OUT045,2002,,Tier 2,Supermarket Type1,1805.65
FDD10,,Regular,0.045798,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.95
FDW57,8.31,Regular,0.115857,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.262
DRB48,16.75,Regular,0.024833,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
FDP09,19.75,Low Fat,0.034028,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,17.1,Regular,0.04677,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.741
FDA47,10.5,Regular,0.116577,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331
FDG12,6.635,Regular,0,Baking Goods,121.3098,OUT045,2002,,Tier 2,Supermarket Type1,2530.706
DRE60,,low fat,0.278974,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116
DRK49,14.15,Low Fat,0.035914,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276
FDD03,13.3,Low Fat,0.079806,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,low fat,0.005505,Frozen Foods,102.4016,OUT017,2007,,Tier 2,Supermarket Type1,2732.443
FDW39,,Regular,0.064625,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDX34,,Low Fat,0.071637,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.333
FDV11,9.1,Regular,0,Breads,173.2054,OUT045,2002,,Tier 2,Supermarket Type1,3151.897
FDD17,7.5,Low Fat,0.032678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,16.85,Regular,0.16076,Frozen Foods,192.4478,OUT017,2007,,Tier 2,Supermarket Type1,4843.695
FDZ46,7.485,Low Fat,0.069111,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.024
DRA12,11.6,Low Fat,0.041178,Soft Drinks,140.3154,OUT017,2007,,Tier 2,Supermarket Type1,2552.677
FDY58,11.65,Low Fat,0.040081,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,13,Low Fat,0.035307,Household,47.5034,OUT017,2007,,Tier 2,Supermarket Type1,680.4476
DRJ13,12.65,LF,0.063018,Soft Drinks,159.0578,OUT045,2002,,Tier 2,Supermarket Type1,2085.951
FDB14,20.25,Regular,0.171939,Canned,92.512,OUT010,1998,,Tier 3,Grocery Store,186.424
FDJ38,8.6,Regular,0.040198,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
FDW11,12.6,Low Fat,0.049058,Breads,62.7194,OUT017,2007,,Tier 2,Supermarket Type1,866.8716
FDL40,17.7,Low Fat,0.011611,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
DRI49,14.15,Low Fat,0.183507,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.186
FDV38,19.25,Low Fat,0.10235,Dairy,52.7956,OUT017,2007,,Tier 2,Supermarket Type1,928.1252
DRG23,8.88,Low Fat,0.086709,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
NCP30,20.5,Low Fat,0.032835,Household,40.2822,OUT045,2002,,Tier 2,Supermarket Type1,707.0796
FDY25,,Low Fat,0.03381,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.294
NCH54,13.5,Low Fat,0.072669,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
NCR53,,Low Fat,0.144338,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.252
FDS52,8.89,Low Fat,0.009163,Frozen Foods,101.7016,OUT010,1998,,Tier 3,Grocery Store,101.2016
FDG02,7.855,Low Fat,0.011307,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094
NCO26,7.235,Low Fat,0.076856,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.436
FDH35,,Low Fat,0.059957,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.483
FDB51,6.92,Low Fat,0.038532,Dairy,60.5852,OUT045,2002,,Tier 2,Supermarket Type1,1314.289
FDX44,9.3,Low Fat,0.04321,Fruits and Vegetables,90.8172,OUT017,2007,,Tier 2,Supermarket Type1,535.3032
NCN07,18.5,Low Fat,0.056816,Others,132.1284,OUT010,1998,,Tier 3,Grocery Store,263.6568
NCC31,8.02,Low Fat,0.019867,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.175
NCX54,9.195,Low Fat,0.048332,Household,105.1622,OUT017,2007,,Tier 2,Supermarket Type1,1693.795
NCO55,12.8,Low Fat,0.091222,Others,105.5938,OUT045,2002,,Tier 2,Supermarket Type1,2143.876
NCC30,16.6,Low Fat,0.027622,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516
FDI16,14,Regular,0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
FDP16,18.6,Low Fat,0.039356,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,16,Low Fat,0.060837,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.131
NCB06,17.6,Low Fat,0.082317,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,Low Fat,0.15535,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
NCO26,7.235,Low Fat,0.076841,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.436
DRJ25,14.6,Low Fat,0.151419,Soft Drinks,50.3692,OUT017,2007,,Tier 2,Supermarket Type1,1034.653
FDR28,13.85,reg,0.026002,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,13.65,Regular,0.073209,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.396
DRK12,,Low Fat,0.041683,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.365,Low Fat,0.04256,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
NCI18,18.35,Low Fat,0.014081,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.994
FDB36,5.465,Regular,0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,18.6,Low Fat,0.152918,Breakfast,99.8358,OUT017,2007,,Tier 2,Supermarket Type1,1910.18
DRD24,13.85,Low Fat,0.030969,Soft Drinks,140.9154,OUT017,2007,,Tier 2,Supermarket Type1,1701.785
FDQ28,14,Regular,0.060377,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.45
FDM22,14,Regular,0.041923,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
FDR07,,Low Fat,0.077367,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.979
FDV25,5.905,Low Fat,0.045838,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,7.27,Low Fat,0.071078,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.591
FDW51,6.155,Regular,0.09466,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
DRL01,19.5,Regular,0.077609,Soft Drinks,233.4958,OUT017,2007,,Tier 2,Supermarket Type1,5375.003
FDP25,15.2,Low Fat,0.021327,Canned,216.8824,OUT017,2007,,Tier 2,Supermarket Type1,2838.971
FDL50,12.15,Regular,0.042485,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.064
NCB30,,Low Fat,0.025579,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.435
FDW11,12.6,Low Fat,0.048981,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
NCM43,14.5,Low Fat,0.019472,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
FDK44,16.6,Low Fat,0.122919,Fruits and Vegetables,173.0738,OUT017,2007,,Tier 2,Supermarket Type1,3823.024
FDM15,11.8,Regular,0.057374,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.229
FDS31,13.1,Regular,0.044156,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.5
FDI32,17.7,Low Fat,0.291865,Fruits and Vegetables,115.1834,OUT010,1998,,Tier 3,Grocery Store,345.5502
FDR47,17.85,LF,0,Breads,196.5794,OUT010,1998,,Tier 3,Grocery Store,585.2382
FDB35,12.3,Regular,0.06475,Starchy Foods,92.6804,OUT045,2002,,Tier 2,Supermarket Type1,1010.684
NCU05,11.8,Low Fat,0.098312,Health and Hygiene,81.4618,OUT010,1998,,Tier 3,Grocery Store,161.1236
DRY23,,Regular,0.191014,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
FDO24,11.1,Low Fat,0.176573,Baking Goods,157.4604,OUT045,2002,,Tier 2,Supermarket Type1,3010.748
FDQ28,,Regular,0.060134,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.158
FDV39,11.3,Low Fat,0.007295,Meat,198.1426,OUT045,2002,,Tier 2,Supermarket Type1,988.713
NCO17,,Low Fat,0.128478,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688
FDU50,5.75,Regular,0.075108,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.211
FDT12,,Regular,0.049381,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.83
FDK58,11.35,Regular,0.045166,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016
FDO08,,Regular,0.094154,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104
NCW29,14,Low Fat,0.028908,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986
FDE04,19.75,Regular,0.01806,Frozen Foods,179.766,OUT045,2002,,Tier 2,Supermarket Type1,2336.958
NCB19,6.525,Low Fat,0.090436,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.093
FDV15,10.3,Low Fat,0.1464,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.837
FDL58,5.78,Regular,0.074264,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.822
FDA08,11.85,Regular,0.050187,Fruits and Vegetables,164.1526,OUT045,2002,,Tier 2,Supermarket Type1,3124.599
FDT43,16.35,Low Fat,0.020632,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
NCX06,,Low Fat,0.015611,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.733
FDT20,10.5,Low Fat,0.041395,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
FDB41,19,Regular,0.097313,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
NCN55,14.6,Low Fat,0.059583,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
FDE40,,Regular,0.098664,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.26
FDX49,,reg,0.101339,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,18.75,Low Fat,0.052146,Health and Hygiene,104.628,OUT045,2002,,Tier 2,Supermarket Type1,745.696
FDE36,5.26,Regular,0.041764,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
FDN57,18.25,Low Fat,0.054344,Snack Foods,140.2154,OUT045,2002,,Tier 2,Supermarket Type1,1701.785
FDI24,,Low Fat,0.078362,Baking Goods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606
FDI19,15.1,Low Fat,0.052339,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.97
FDF24,15.5,Regular,0.042465,Baking Goods,81.5934,OUT010,1998,,Tier 3,Grocery Store,327.5736
FDG52,13.65,Low Fat,0.065733,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
DRF36,16.1,LF,0.023625,Soft Drinks,189.3846,OUT045,2002,,Tier 2,Supermarket Type1,3630.607
FDS45,,Regular,0.051644,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
FDX40,12.85,Low Fat,0.165694,Frozen Foods,39.7164,OUT010,1998,,Tier 3,Grocery Store,231.6984
DRK12,9.5,LF,0.041878,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
DRC27,13.8,Low Fat,0.058091,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.645
FDL58,5.78,Regular,0,Snack Foods,263.7568,OUT017,2007,,Tier 2,Supermarket Type1,2636.568
NCD30,19.7,Low Fat,0.026904,Household,96.0726,OUT045,2002,,Tier 2,Supermarket Type1,1272.344
NCZ54,14.65,Low Fat,0,Household,161.5552,OUT010,1998,,Tier 3,Grocery Store,324.9104
FDE10,6.67,Regular,0.150555,Snack Foods,130.0626,OUT010,1998,,Tier 3,Grocery Store,131.1626
FDR44,6.11,Regular,0,Fruits and Vegetables,131.2968,OUT010,1998,,Tier 3,Grocery Store,260.9936
FDP28,13.65,Regular,0.134976,Frozen Foods,260.0936,OUT010,1998,,Tier 3,Grocery Store,260.9936
FDX15,17.2,Low Fat,0.156169,Meat,160.6578,OUT013,1987,High,Tier 3,Supermarket Type1,3690.529
FDA39,6.32,LF,0,Meat,40.2822,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.184
FDY24,4.88,Regular,0.133701,Baking Goods,52.9298,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.403
FDC60,5.425,Regular,0.11512,Baking Goods,88.3514,OUT017,2007,,Tier 2,Supermarket Type1,1416.822
FDH28,15.85,Regular,0.110031,Frozen Foods,37.2506,OUT046,1997,Small,Tier 1,Supermarket Type1,265.6542
FDT25,7.5,Low Fat,0.051038,Canned,121.7072,OUT017,2007,,Tier 2,Supermarket Type1,3552.709
DRJ13,12.65,Low Fat,0.062838,Soft Drinks,161.5578,OUT013,1987,High,Tier 3,Supermarket Type1,2406.867
NCO07,,Low Fat,0.017117,Others,211.956,OUT019,1985,Small,Tier 1,Grocery Store,213.056
FDW20,20.75,Low Fat,0.024129,Fruits and Vegetables,124.173,OUT013,1987,High,Tier 3,Supermarket Type1,2956.152
DRF27,,Low Fat,0.049755,Dairy,152.134,OUT019,1985,Small,Tier 1,Grocery Store,153.134
FDS49,9,Low Fat,0,Canned,79.7644,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.852
